Removed Pin From Net: NetName=GND Pin=Q3-2
Removed Pin From Net: NetName=NetQ2_1 Pin=Q3-3
Change Component Footprint: Designator=Q3 Old Footprint=FP-419AB-01-IPC_C New Footprint=FP-SOT23-IPC_C
Change Component Footprint: Designator=Q1 Old Footprint=FP-527AG-MFG New Footprint=FP-SOT23-IPC_C
Change Component Comment : Designator=Q3 Old Comment=2N7002W New Comment=ZXMN2F30FHTA
Change Component Comment : Designator=Q1 Old Comment=FDN337N New Comment=ZXMN2F30FHTA
Change Managed Component Library Link : Designator=Q1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=177D2F0F-F9B6-4D48-9182-1517BC2533DB New ItemGUID=56C8D612-C868-4738-84ED-3AFB16F7C688 Old RevisionGUID=A7C63735-060E-4D3C-8744-2ED87E7B30D3 New RevisionGUID=60FF4E97-2FB3-47BF-9D1A-40D9C4B0739B
Change Managed Component Library Link : Designator=Q3 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=60F17698-A76D-4256-9A91-72745B91371F New ItemGUID=56C8D612-C868-4738-84ED-3AFB16F7C688 Old RevisionGUID=8FC15227-9191-4D72-9882-15C121D86EB2 New RevisionGUID=60FF4E97-2FB3-47BF-9D1A-40D9C4B0739B
Change component parameters: Designator = "Q1" ("Q1"); Footprint = "FP-527AG-MFG"; UniqueID = "\YLVMKSNQ" ("\YLVMKSNQ")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "4.9A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Breakdown Voltage"; Value = "20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Resistance"; Value = "45mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dual Supply Voltage"; Value = "20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fall Time"; Value = "5.6ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate to Source Voltage (Vgs)"; Value = "12V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.02mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance"; Value = "452pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "3.04mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "150°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "960mW"; VariantName = "[No Variations]"
